Date,Counts
2020-11-15,34895
2020-11-16,52148
2020-11-17,59506
2020-11-18,62063
2020-11-19,61125
2020-11-20,61902
2020-11-21,48758
2020-11-22,32720
2020-11-23,52550
2020-11-24,56335
2020-11-25,51859
2020-11-26,24923
2020-11-27,34264
2020-11-28,35806
2020-11-29,31811
2020-11-30,45962
2020-12-01,54833
2020-12-02,55885
2020-12-03,56776
2020-12-04,57389
2020-12-05,42775
2020-12-06,37198
2020-12-07,50664
2020-12-08,56720
2020-12-09,57622
2020-12-10,59288
2020-12-11,61194
2020-12-12,46618
2020-12-13,38726
2020-12-14,51467
2020-12-15,60886
2020-12-16,50672
2020-12-17,26421
2020-12-18,59318
2020-12-19,44091
2020-12-20,31681
2020-12-21,51526
2020-12-22,56169
2020-12-23,56755
2020-12-24,44483
2020-12-25,19110
2020-12-26,28407
2020-12-27,25892
2020-12-28,40985
2020-12-29,45866
2020-12-30,47650
2020-12-31,44795
